"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Jun., 1999"	"1999/06"	"North Dakota"	"38"	16	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Ohio"	"39"	256	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Oklahoma"	"40"	62	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Oregon"	"41"	63	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Pennsylvania"	"42"	258	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Rhode Island"	"44"	21	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"South Carolina"	"45"	65	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"South Dakota"	"46"	12	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Tennessee"	"47"	108	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Texas"	"48"	394	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Utah"	"49"	35	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Virginia"	"51"	106	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Washington"	"53"	91	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"West Virginia"	"54"	60	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Wisconsin"	"55"	106	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Wyoming"	"56"	14	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"Alabama"	"01"	98	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"Arizona"	"04"	57	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"Arkansas"	"05"	47	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"California"	"06"	456	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"Colorado"	"08"	45	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"Connecticut"	"09"	44	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"Delaware"	"10"	15	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"District of Columbia"	"11"	20	Not Applicable	Not Applicable
